"","x","y"
"904",903,970304694655.934
"831",830,674120702381.351
"442",441,-249736299366.073
"315",314,-201057345692.387
"907",906,555083224859.433
"557",556,-16686896019.3144
"176",175,-6401530122.3606
"314",313,117161843635.143
"643",642,190206472221.533
"640",639,-261596178781.037
"798",797,723376721053.938
"966",965,864028283262.625
"504",503,394545767908.911
"271",270,-1381946208.75665
"512",511,91137444495.4523
"287",286,-255461960393.26
"256",255,-144135290162.775
"8",7,503209170206.277
"481",480,146890483753.872
"600",599,72622219407.9557
"827",826,479909914961.809
"12",11,252828670197.065
"731",730,380768315897.875
"691",690,216493249260.706
"458",457,85366818827.5854
"488",487,-177888932676.067
"428",427,20615956634.7874
"38",37,105042431372.5
"411",410,-165668840565.095
"931",930,506794663412.759
"658",657,-112189358276.972
"872",871,423219014782.365
"30",29,-256451836036.205
"78",77,56093201180.1358
"263",262,-217770707706.718
"845",844,438632454970.064
"212",211,-473791185147.535
"439",438,-54485397717.5922
"57",56,-185186551410.7
"598",597,112784422.739502
"514",513,-19391060464.4069
"728",727,378734636808.529
"11",10,-192653202074.885
"405",404,-427861868737.148
"48",47,153486144126.719
"567",566,175738231662.961
"376",375,170144389127.57
"5",4,-81613308740.0395
"118",117,-57719440733.5024
"268",267,114615608658.735
"543",542,125126809560.454
"584",583,362705269812.252
"682",681,468209415049.931
"487",486,-49256006993.261
"903",902,690417705512.764
"216",215,-166632475078.223
"431",430,-254082903165.657
"472",471,-356863803678.45
"622",621,382566659077.119
"397",396,-127558598598.719
"183",182,-177636832424.886
"926",925,559968244498.307
"508",507,262012842193.177
"243",242,121841025185.188
"784",783,471296572301.353
"990",989,1114745892291.78
"923",922,698672917206.811
"68",67,-31101246458.4753
"10",9,35995468810.8748
"334",333,-60181521849.3862
"409",408,-136010572150.329
"111",110,-35038410771.086
"869",868,234709989301.583
"889",888,841080817524.581
"415",414,-343728679684.655
"494",493,-205952798177.875
"530",529,-170500468436.351
"181",180,-68378855484.423
"526",525,287337351762.764
"951",950,850386506847.579
"841",840,458548858596.305
"785",784,231056236277.545
"96",95,-236612879636.11
"403",402,176155748615.028
"169",168,222477942145.707
"412",411,-57008288789.9124
"374",373,366105904521.006
"993",992,855694096064.103
"503",502,73547587304.0322
"232",231,267627794813.784
"41",40,-144944572787.208
"448",447,207427182123.712
"915",914,655158061412.965
"679",678,305928274733.957
"534",533,-738046039.821289
"413",412,296962588337.017
"505",504,32267153223.8468
"606",605,167680249477.766
"878",877,744036195903.211
"631",630,-18631504742.6712
"901",900,365602320967.453
"250",249,-125831218445.598
"385",384,-127272165744.943
"795",794,234008159652.292
"852",851,501664480187.989
"489",488,46038672134.7411
"603",602,320740508768.966
"240",239,65006484670.8002
"316",315,430869257707.25
"707",706,127696971936.084
"194",193,-116166091216.402
"477",476,156428152339.966
"331",330,-135093778322.042
"390",389,-151385268318.111
"559",558,441275129313.749
"666",665,190432662735.084
"149",148,-335151903875.089
"868",867,632975575147.796
"474",473,-299013421397.982
"200",199,278041883114.414
"157",156,81407491256.9048
"272",271,2852353215.26109
"313",312,143061495343.318
"170",169,231520591097.507
"419",418,-121615615268.354
"501",500,310778587866.892
"221",220,298736020755.341
"470",469,-64105143427.7336
"496",495,83713790534.5797
"485",484,-42703419551.265
"883",882,612958710716.819
"832",831,360456365764.999
"87",86,90719622052.916
"352",351,-386835611888.988
"242",241,346067533375.822
"736",735,114398103336.696
"210",209,-21266557909.624
"398",397,-186850222293.218
"394",393,137488448283.395
"820",819,392799050217.909
"662",661,-36878943796.2627
"648",647,370099644294.673
"4",3,-330120093497.607
"289",288,-457517304560.149
"112",111,84282242382.8623
"936",935,782941552204.484
"408",407,310166750574.166
"765",764,394114950137.424
"179",178,-125659812317.111
"206",205,-244888801343.961
"381",380,-154927968523.294
"674",673,112891411868.682
"120",119,207304001624.344
"86",85,267215612756.141
"909",908,710326678814.336
"529",528,-170476964242.899
"367",366,69397334096.5116
"178",177,-21448034003.232
"465",464,466527273615.608
"779",778,486203967401.267
"171",170,-40795070727.022
"634",633,48887040155.9791
"345",344,-15237149620.5402
"875",874,781498613074.302
"151",150,51900087277.8817
"935",934,533571518708.604
"560",559,-79374898012.6085
"582",581,57652947714.6211
"453",452,104558065509.46
"130",129,-120553572032.224
"301",300,-159902975372.86
"734",733,-25768083224.4992
"724",723,-76631201353.5782
"187",186,-54733421505.2432
"644",643,213605343087.043
"254",253,56673442973.6269
"1001",1000,1024298338508.97
"498",497,-71915850868.7349
"222",221,224666365774.805
"786",785,436465986586.221
"680",679,-179087887348.242
"566",565,115275519542.442
"599",598,325961067729.927
"45",44,181122208367.254
"932",931,761945243674.053
"318",317,-102575824899.922
"497",496,-82549698248.7278
"840",839,700194957496.068
"382",381,291303022178.646
"404",403,98352134429.8946
"199",198,329784851790.756
"535",534,711463927.538696
"74",73,20523055068.256
"927",926,520361859987.725
"571",570,221172905141.057
"323",322,310205117108.385
"395",394,150202980718.906
"37",36,23893173858.2371
"718",717,-142753163722.299
"492",491,-169917273144.572
"701",700,185406508659.527
"716",715,193389387011.746
"143",142,100052899979.097
"796",795,37683794444.6959
"962",961,813884133499.208
"424",423,398516159481.272
"511",510,-57379301042.3382
"894",893,775981228438.875
"657",656,218309764604.973
"164",163,-18880581842.8509
"32",31,-63512885694.7263
"137",136,-225235010902.453
"804",803,736865963989.012
"958",957,611969443340.522
"838",837,757251363308.953
"774",773,196511829021.838
"285",284,276323531389.335
"848",847,159342614449.687
"307",306,175938996938.197
"895",894,632689762281.787
"519",518,-52570881623.4108
"873",872,339075351761.596
"619",618,159572489788.578
"961",960,709140867521.287
"752",751,62946899278.0222
"997",996,1011528286174.9
"700",699,364922523152.099
"836",835,280517193187.177
"284",283,209758429875.974
"963",962,663413229773.65
"612",611,75493041788.4858
"102",101,37019008036.4067
"870",869,532811078005.469
"75",74,261385866503.582
"987",986,994322751137.886
"16",15,93935544742.1539
"258",257,-134052029176.382
"31",30,-105274079866.951
"396",395,228326707005.075
"948",947,471113867701.791
"513",512,-377825279384.14
"226",225,-277919442890.782
"608",607,-50858112694.8914
"976",975,905944830620.369
"654",653,94634010970.5173
"998",997,1027051911933.4
"749",748,508018111815.766
"386",385,234827192976.51
"609",608,85785210314.0371
"435",434,6900260717.23257
"591",590,265478199673.121
"713",712,367890073484.129
"224",223,72854396727.2077
"110",109,215629268848.827
"687",686,-15778697465.6731
"202",201,10221025428.7023
"165",164,-193470709649.405
"356",355,285327304717.299
"233",232,-246063201066.088
"596",595,249866204075.9
"941",940,671781025110.94
"940",939,1233420162461.41
"853",852,578210494550.802
"236",235,65287443835.415
"953",952,1102185589018.05
"341",340,-171652401670.948
"778",777,457096517743.995
"821",820,356927083429.957
"163",162,241501496644.206
"874",873,399750540152.292
"906",905,494002031636.68
"440",439,-120253392315.413
"292",291,-46085699161.851
"551",550,119927340656.677
"357",356,41828810211.6319
"649",648,104791545073.145
"771",770,19891759186.2521
"912",911,561051329951.937
"663",662,130126256949.702
"767",766,429529301247.655
"330",329,467841110622.592
"17",16,374954741538.923
"562",561,-193958129102.982
"861",860,535438506797.173
"890",889,1014856276229.2
"864",863,501351954562.005
"772",771,580677856365.785
"924",923,360624853682.619
"900",899,646741571272.154
"490",489,-227441170176.584
"604",603,145729660946
"862",861,529478506644.41
"422",421,166313952221.135
"88",87,-34341052636.4208
"933",932,806027173151.961
"594",593,333698297475.878
"922",921,522462986840.195
"670",669,-112898094941.484
"235",234,-11675906602.6512
"555",554,-211042653808.348
"825",824,332832524983.617
"300",299,144065096403.8
"104",103,-39669383206.5999
"495",494,-117346911014.163
"446",445,-313810702906.901
"99",98,-199040309363.963
"720",719,266782587165.599
"3",2,-156806739751.825
"741",740,79001848672.5344
"714",713,-171506580337.482
"308",307,111387432262.246
"464",463,-86712793171.6584
"416",415,-149582105650.503
"542",541,319802377857.571
"475",474,-219354634972.634
"799",798,366577737648.374
"166",165,72530617801.5114
"676",675,156240053548.812
"653",652,217729804978.34
"892",891,618296050138.359
"375",374,70192272790.7999
"186",185,-8298842918.9394
"195",194,153147994624.127
"859",858,448460601356.911
"338",337,168215716568.104
"754",753,-92900927935.7505
"414",413,-188013392782.393
"876",875,902835500503.514
"364",363,-87988622396.5351
"370",369,-38216713410.7832
"865",864,463667798176.734
"681",680,168228998899.984
"369",368,-224459780918.825
"697",696,179401598225.845
"27",26,-5592167627.85999
