"","Wine.Color","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","Class"
"44","W",6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,10.96666667,"Good"
"45","W",7.8,0.26,0.49,3.2,0.027,28,87,0.9919,3.03,0.32,11.3,"Good"
"46","W",6.6,0.23,0.18,8.5,0.044,59,188,0.99558,3.16,0.49,9.5,"Bad"
"47","W",6.4,0.24,0.32,0.95,0.041,23,131,0.99033,3.25,0.35,11.8,"Bad"
"48","R",8.6,0.8,0.11,2.3,0.084,12,31,0.9979,3.4,0.48,9.9,"Bad"
"49","W",6.6,0.2,0.14,4.4,0.184,35,168,0.99396,2.93,0.45,9.4,"Bad"
"50","W",8.6,0.23,0.46,1,0.054,9,72,0.9941,2.95,0.49,9.1,"Bad"
"51","W",5.6,0.26,0.26,5.7,0.031,12,80,0.9923,3.25,0.38,10.8,"Good"
"52","W",7.4,0.23,0.43,1.4,0.044,22,113,0.9938,3.22,0.62,10.6,"Good"
"53","W",6.4,0.42,0.19,9.3,0.043,28,145,0.99433,3.23,0.53,10.98,"Bad"
"54","W",5.3,0.2,0.31,3.6,0.036,22,91,0.99278,3.41,0.5,9.8,"Bad"
"55","W",6.9,0.52,0.54,7.9,0.036,23,169,0.99267,3.26,0.47,12.2,"Good"
"56","W",6.6,0.34,0.24,3.3,0.034,29,99,0.99031,3.1,0.4,12.3,"Good"
"57","W",7.6,0.29,0.26,6.5,0.042,32,160,0.9944,3.14,0.47,10.7,"Bad"
"58","W",7,0.32,0.29,7.6,0.025,35,124,0.99162,3.15,0.65,12.8,"Bad"
"59","W",8.3,0.39,0.7,10.6,0.045,33,169,0.9976,3.09,0.57,9.4,"Bad"
"60","W",6.2,0.32,0.45,2.9,0.029,37,94,0.98998,3.25,0.6,12.4,"Good"
"61","W",6.8,0.32,0.34,6,0.05,5,129,0.9953,3.19,0.4,9.1,"Bad"
"62","W",7.6,0.29,0.58,17.5,0.041,51,225,0.9997,3.16,0.66,9.5,"Good"
"63","R",8.3,0.53,0,1.4,0.07,6,14,0.99593,3.25,0.64,10,"Bad"
"64","W",8,0.26,0.28,8.2,0.038,72,202,0.99566,3.12,0.56,10,"Bad"
"65","R",9.8,0.51,0.19,3.2,0.081,8,30,0.9984,3.23,0.58,10.5,"Good"
"66","W",7.1,0.34,0.32,2,0.051,29,130,0.99354,3.3,0.5,10.4,"Good"
"67","W",7.3,0.25,0.39,6.4,0.034,8,84,0.9942,3.18,0.46,11.5,"Bad"
"68","W",6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5,"Bad"
"69","W",6.4,0.3,0.27,5,0.058,27,151,0.99198,3.22,0.49,12.2,"Bad"
"70","W",7.5,0.21,0.34,1.2,0.06,26,111,0.9931,3.51,0.47,10.7,"Good"
"71","W",6.1,0.31,0.37,8.4,0.031,70,170,0.9934,3.42,0.4,11.7,"Good"
"72","W",6.8,0.22,0.26,1.2,0.041,29,182,0.99104,3.04,0.35,11.2,"Good"
"73","W",6.8,0.52,0.26,5.7,0.038,27,130,0.99,3.11,0.27,13,"Good"
"74","W",7.6,0.27,0.24,3.8,0.058,19,115,0.9958,3.15,0.45,8.9,"Bad"
"75","R",7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9,"Bad"
"76","W",6.3,0.32,0.32,1.5,0.037,12,76,0.98993,3.3,0.46,12.3,"Bad"
"77","W",6.6,0.27,0.25,1.2,0.033,36,111,0.98918,3.16,0.37,12.4,"Good"
"78","W",7.4,0.22,0.27,1.6,0.057,45,98,0.99299,3.29,0.44,9.9,"Good"
"79","R",9.1,0.28,0.48,1.8,0.067,26,46,0.9967,3.32,1.04,10.6,"Good"
"80","W",7,0.32,0.29,7.6,0.025,35,124,0.99162,3.15,0.65,12.8,"Good"
"81","R",15.9,0.36,0.65,7.5,0.096,22,71,0.9976,2.98,0.84,14.9,"Good"
"82","R",7.3,0.4,0.3,1.7,0.08,33,79,0.9969,3.41,0.65,9.5,"Good"
"83","W",6.8,0.26,0.34,15.1,0.06,42,162,0.99705,3.24,0.52,10.5,"Bad"
"84","W",6.6,0.32,0.36,8,0.047,57,168,0.9949,3.15,0.46,9.6,"Bad"
"85","W",6.9,0.75,0.13,6.3,0.036,19,50,0.99312,3.09,0.25,11.1,"Bad"
"86","R",7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,"Bad"
"87","W",7.8,0.39,0.26,9.9,0.059,33,181,0.9955,3.04,0.42,10.9,"Good"
"88","W",6.4,0.38,0.19,4.5,0.038,36,119,0.99151,3.07,0.42,11.2,"Bad"
"89","W",6.9,0.3,0.21,15.7,0.056,49,159,0.99827,3.11,0.48,9,"Bad"
"90","W",7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,"Bad"
"91","W",8.4,0.17,0.31,5.4,0.052,47,150,0.9953,3.24,0.38,9.8,"Good"
"92","W",6.5,0.22,0.72,6.8,0.042,33,168,0.9958,3.12,0.36,9.2,"Bad"
"93","W",7,0.31,0.31,9.1,0.036,45,140,0.99216,2.98,0.31,12,"Good"
"94","W",6.3,0.25,0.27,6.6,0.054,40,158,0.99378,3.2,0.48,10.3,"Good"
"95","W",7.1,0.31,0.17,1,0.042,21,144,0.99304,3.13,0.4,9.6,"Bad"
"96","R",7.1,0.31,0.3,2.2,0.053,36,127,0.9965,2.94,1.62,9.5,"Good"
"97","R",8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,"Good"
"98","W",6.7,0.33,0.34,7.5,0.036,39,124,0.99123,2.99,0.32,12.4,"Good"
"99","W",6.9,0.32,0.16,1.4,0.051,15,96,0.994,3.22,0.38,9.5,"Bad"
"100","W",6.9,0.35,0.74,1,0.044,18,132,0.992,3.13,0.55,10.2,"Bad"
"101","R",10.6,0.34,0.49,3.2,0.078,20,78,0.9992,3.19,0.7,10,"Good"
"102","R",7,0.56,0.13,1.6,0.077,25,42,0.99629,3.34,0.59,9.2,"Bad"
"103","W",7.2,0.3,0.3,8.1,0.05,40,188,0.99652,3.15,0.49,9.1,"Bad"
"104","W",6.2,0.16,0.54,1.4,0.126,37,110,0.9932,3.23,0.37,8.9,"Good"
"105","R",7.1,0.48,0.28,2.8,0.068,6,16,0.99682,3.24,0.53,10.3,"Bad"
"106","W",5.1,0.14,0.25,0.7,0.039,15,89,0.9919,3.22,0.43,9.2,"Good"
"107","R",9.1,0.76,0.68,1.7,0.414,18,64,0.99652,2.9,1.33,9.1,"Bad"
"108","W",7.1,0.32,0.3,9.9,0.041,63,192,0.99642,3.12,0.49,10.2,"Good"
"109","W",7.3,0.22,0.49,9.9,0.031,48,161,0.9937,3.01,0.28,11.2,"Bad"
"110","W",7.2,0.32,0.36,2,0.033,37,114,0.9906,3.1,0.71,12.3,"Good"
"111","W",6.9,0.22,0.28,7.8,0.05,43,116,0.99326,3.22,0.6,11.5,"Good"
"112","R",8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,"Bad"
"113","W",8.4,0.17,0.31,6.7,0.038,29,132,0.9945,3.1,0.32,10.6,"Good"
"114","W",7.4,0.22,0.28,9,0.046,22,121,0.99468,3.1,0.55,10.8,"Bad"
"115","W",7.4,0.22,0.26,8.8,0.027,23,112,0.9931,2.98,0.41,11.4,"Bad"
"116","W",7.4,0.3,0.22,5.25,0.053,33,180,0.9926,3.13,0.45,11.6,"Bad"
"117","W",6.1,0.27,0.3,16.7,0.039,49,172,0.99985,3.4,0.45,9.4,"Bad"
"118","W",6,0.3,0.33,2.1,0.042,31,127,0.98964,3.32,0.42,12.5,"Good"
"119","W",5.8,0.12,0.21,1.3,0.056,35,121,0.9908,3.32,0.33,11.4,"Good"
"120","W",8.1,0.22,0.28,7.7,0.043,57,176,0.9954,3.12,0.55,10,"Bad"
"121","W",6.4,0.17,0.3,2.8,0.034,33,125,0.99152,3.03,0.49,10.4,"Good"
"122","W",7.3,0.42,0.38,6.8,0.045,29,122,0.9925,3.19,0.37,12.6,"Good"
"123","R",8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,"Good"
"124","W",5.1,0.25,0.36,1.3,0.035,40,78,0.9891,3.23,0.64,12.1,"Bad"
"125","W",6.7,0.26,0.51,8,0.062,50,194,0.99545,3.13,0.5,9.6,"Bad"
"126","W",5.8,0.415,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5,"Bad"
"127","W",6,0.495,0.27,5,0.157,17,129,0.99396,3.03,0.36,9.3,"Bad"
"128","W",6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6,"Good"
"129","W",6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,"Good"
"130","W",7.1,0.28,0.26,1.9,0.049,12,86,0.9934,3.15,0.38,9.4,"Bad"
"131","W",6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,"Good"
"132","W",7.6,0.3,0.37,1.6,0.087,27,177,0.99438,3.09,0.5,9.8,"Bad"
"133","W",6.6,0.23,0.37,8.5,0.036,46,153,0.99576,3.2,0.48,9.4,"Bad"
"134","W",5.2,0.155,0.33,1.6,0.028,13,59,0.98975,3.3,0.84,11.9,"Good"
"135","W",7.3,0.31,0.69,10.2,0.041,58,160,0.9977,3.06,0.45,8.6,"Bad"
"136","W",5.9,0.48,0.3,1.5,0.037,19,78,0.99057,3.47,0.42,11.9,"Good"
"137","R",7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,"Good"
"138","W",7.8,0.25,0.37,1,0.043,10,80,0.99128,3.08,0.38,11.4,"Bad"
"139","W",7,0.28,0.28,1.4,0.039,12,83,0.99173,3.18,0.65,11.1,"Bad"
"140","W",7.9,0.16,0.74,17.85,0.037,52,187,0.9998,2.99,0.41,9.3,"Bad"
"141","W",5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10,"Bad"
"142","W",6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,"Good"
"143","W",6.9,0.19,0.38,1.15,0.023,30,105,0.99047,3.11,0.38,11.4,"Bad"
"144","R",8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,"Good"
"145","W",7.9,0.37,0.31,2.85,0.037,5,24,0.9911,3.19,0.36,11.9,"Good"
"146","W",6.6,0.25,0.35,14,0.069,42,163,0.999,3.56,0.47,9.8,"Bad"
"147","W",6.2,0.17,0.3,1.1,0.037,14,79,0.993,3.5,0.54,10.3,"Good"
"148","W",6.5,0.36,0.28,3.2,0.037,29,119,0.9908,3.25,0.65,12.4,"Good"
"149","R",7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,"Bad"
"150","R",7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,"Good"
"151","R",10.8,0.29,0.42,1.6,0.084,19,27,0.99545,3.28,0.73,11.9,"Good"
"152","W",6.3,0.23,0.3,1.8,0.033,16,91,0.9906,3.28,0.4,11.8,"Bad"
"153","W",6.9,0.34,0.36,1.4,0.032,13,145,0.99214,3.07,0.52,9.8,"Bad"
"154","W",5.6,0.19,0.46,1.1,0.032,33,115,0.9909,3.36,0.5,10.4,"Good"
"155","R",10,0.48,0.24,2.7,0.102,13,32,1,3.28,0.56,10,"Good"
"156","W",7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,"Bad"
"157","W",6.3,0.2,0.26,1.6,0.027,36,141,0.99268,3.53,0.56,10.8,"Bad"
"158","W",4.2,0.215,0.23,5.1,0.041,64,157,0.99688,3.42,0.44,8,"Bad"
"159","R",7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,"Good"
"160","W",8,0.37,0.32,1.6,0.04,32,166,0.992,3,0.55,11.3,"Good"
"161","W",5.6,0.49,0.13,4.5,0.039,17,116,0.9907,3.42,0.9,13.7,"Good"
"162","W",6,0.33,0.18,3,0.036,5,85,0.99125,3.28,0.4,11.5,"Bad"
"163","W",7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,"Good"
"164","W",7.7,0.39,0.34,10,0.056,35,178,0.9974,3.26,0.6,10.2,"Bad"
"165","W",7.3,0.24,0.34,7.5,0.048,29,152,0.9962,3.1,0.54,9,"Bad"
"166","W",10,0.23,0.27,14.1,0.033,45,166,0.9988,2.72,0.43,9.7,"Bad"
"167","W",6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,"Bad"
"168","R",6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.25,"Bad"
"169","W",6.6,0.23,0.32,0.9,0.041,25,79,0.9926,3.39,0.54,10.2,"Good"
"170","W",6.4,0.31,0.28,2.5,0.039,34,137,0.98946,3.22,0.38,12.7,"Good"
"171","W",7.6,0.17,0.27,4.6,0.05,23,98,0.99422,3.08,0.47,9.5,"Good"
"172","W",7.5,0.25,0.47,4.1,0.041,95,163,0.99184,2.92,0.59,11.3,"Bad"
"173","W",6.9,0.2,0.41,1.1,0.06,36,104,0.99317,2.99,0.39,9.2,"Good"
"174","W",7.2,0.2,0.22,1.6,0.044,17,101,0.99471,3.37,0.53,10,"Bad"
"175","W",7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,"Good"
"176","R",6.4,0.56,0.15,1.8,0.078,17,65,0.99294,3.33,0.6,10.5,"Bad"
"177","R",7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,"Bad"
"178","R",7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,"Good"
"179","R",6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,"Good"
"180","R",8,0.81,0.25,3.4,0.076,34,85,0.99668,3.19,0.42,9.2,"Bad"
"181","R",7,0.655,0.16,2.1,0.074,8,25,0.99606,3.37,0.55,9.7,"Bad"
"182","R",9.2,0.54,0.31,2.3,0.112,11,38,0.99699,3.24,0.56,10.9,"Bad"
"183","W",9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,"Bad"
"184","W",6.2,0.28,0.28,4.3,0.026,22,105,0.989,2.98,0.64,13.1,"Good"
"185","W",6.3,0.67,0.48,12.6,0.052,57,222,0.9979,3.17,0.52,9.3,"Bad"
"186","W",6.9,0.28,0.4,8.2,0.036,15,95,0.9944,3.17,0.33,10.2,"Good"
"187","W",6,0.17,0.3,7.3,0.039,39,104,0.99252,2.91,0.57,11,"Good"
"188","W",7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,"Bad"
"189","W",6.3,0.3,0.19,7.7,0.049,47,184,0.99514,3.22,0.48,9.5,"Bad"
"190","R",7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,"Bad"
"191","R",7.4,0.47,0.46,2.2,0.114,7,20,0.99647,3.32,0.63,10.5,"Bad"
"192","R",7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,"Bad"
"193","W",7.1,0.44,0.27,8.4,0.057,60,160,0.99257,3.16,0.36,11.8,"Good"
"194","W",6.7,0.21,0.32,5.4,0.047,29,140,0.995,3.39,0.46,9.7,"Bad"
"195","R",7.6,0.665,0.1,1.5,0.066,27,55,0.99655,3.39,0.51,9.3,"Bad"
"196","R",10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,"Bad"
"197","W",5.6,0.19,0.47,4.5,0.03,19,112,0.9922,3.56,0.45,11.2,"Good"
"198","R",6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,"Good"
"199","R",6.5,0.9,0,1.6,0.052,9,17,0.99467,3.5,0.63,10.9,"Good"
"200","W",6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,"Bad"
"201","W",6.5,0.31,0.61,13,0.053,31,123,0.99708,3.09,0.5,9.3,"Bad"
"202","W",7.3,0.24,0.34,7.5,0.048,29,152,0.9962,3.1,0.54,9,"Bad"
"203","W",6.8,0.26,0.32,7,0.041,38,118,0.9939,3.25,0.52,10.8,"Good"
"204","R",8,0.58,0.28,3.2,0.066,21,114,0.9973,3.22,0.54,9.4,"Good"
"205","W",7.1,0.46,0.23,13.7,0.045,44,192,0.9981,3.11,0.53,9.4,"Bad"
"206","W",7.3,0.22,0.5,13.7,0.049,56,189,0.9994,3.24,0.66,9,"Good"
"207","R",6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,"Bad"
"208","W",6.7,0.48,0.32,1.4,0.021,22,121,0.9889,3.15,0.53,12.7,"Good"
"209","W",7.6,0.32,0.58,16.75,0.05,43,163,0.9999,3.15,0.54,9.2,"Bad"
"210","W",6.4,0.23,0.3,7.1,0.037,63,236,0.9952,3.06,0.34,9.2,"Good"
"211","W",6.3,0.27,0.49,1.2,0.063,35,92,0.9911,3.38,0.42,12.2,"Good"
"212","W",7.1,0.27,0.28,1.25,0.023,3,89,0.98993,2.95,0.3,11.4,"Bad"
"213","W",7.5,0.14,0.34,1.3,0.055,50,153,0.9945,3.29,0.8,9.6,"Good"
"214","W",7.8,0.28,0.34,1.6,0.028,32,118,0.9901,3,0.38,12.1,"Good"
"215","W",7,0.36,0.35,2.5,0.048,67,161,0.99146,3.05,0.56,11.1,"Good"
"216","W",6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,"Bad"
"217","W",7,0.24,0.47,1.3,0.043,18,131,0.99176,3.19,0.45,11,"Bad"
"218","W",7.4,0.29,0.31,1.7,0.035,23,110,0.9926,3.07,0.38,10.9,"Bad"
"219","W",6.2,0.28,0.28,4.3,0.026,22,105,0.989,2.98,0.64,13.1,"Good"
"220","R",10.6,0.31,0.49,2.2,0.063,18,40,0.9976,3.14,0.51,9.8,"Good"
"221","W",7.1,0.14,0.33,1,0.104,20,54,0.99057,3.19,0.64,11.5,"Good"
"222","R",6.3,0.57,0.28,2.1,0.048,13,49,0.99374,3.41,0.6,12.8,"Bad"
"223","W",6.5,0.4,0.31,3.5,0.046,22,147,0.99024,3.15,0.31,12,"Good"
"224","R",9.8,0.98,0.32,2.3,0.078,35,152,0.998,3.25,0.48,9.4,"Bad"
"225","W",7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,"Good"
"226","W",6.6,0.16,0.21,6.7,0.055,43,157,0.99384,3.15,0.52,10.8,"Bad"
"227","R",11.1,0.31,0.49,2.7,0.094,16,47,0.9986,3.12,1.02,10.6,"Good"
"228","R",6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,"Good"
"229","W",7.3,0.2,0.39,2.3,0.048,24,87,0.99044,2.94,0.35,12,"Good"
"230","R",7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,"Bad"
"231","W",6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,"Good"
"232","W",7.6,0.16,0.41,1.9,0.047,27,151,0.9937,3.2,0.53,10.1,"Bad"
"233","W",7.1,0.44,0.23,5.8,0.035,24,100,0.99062,3.15,0.57,13.2,"Good"
"234","W",6.7,0.23,0.17,1.3,0.061,14,100,0.9925,3.07,0.55,9.5,"Bad"
"235","W",7.3,0.32,0.29,1.5,0.038,32,144,0.99296,3.2,0.55,10.8,"Bad"
"236","W",5.8,0.58,0,1.5,0.02,33,96,0.98918,3.29,0.38,12.4,"Good"
"237","W",8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,"Good"
"238","W",7.9,0.345,0.51,15.3,0.047,54,171,0.9987,3.09,0.51,9.1,"Bad"
"239","R",12,0.5,0.59,1.4,0.073,23,42,0.998,2.92,0.68,10.5,"Good"
"240","R",6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,"Bad"
"241","W",8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,"Bad"
"242","W",6,0.27,0.27,1.6,0.046,32,113,0.9924,3.41,0.51,10.5,"Good"
"243","W",7.9,0.21,0.39,2,0.057,21,138,0.99176,3.05,0.52,10.9,"Good"
"244","W",6.3,0.38,0.17,8.8,0.08,50,212,0.99803,3.47,0.66,9.4,"Bad"
"245","W",7.2,0.29,0.53,18.15,0.047,59,182,0.9992,3.09,0.52,9.6,"Bad"
"246","W",8.2,0.31,0.43,7,0.047,18,87,0.99628,3.23,0.64,10.6,"Bad"
"247","W",8.7,0.45,0.4,1.5,0.067,17,100,0.9957,3.27,0.57,10.1,"Bad"
"248","W",5.5,0.18,0.22,5.5,0.037,10,86,0.99156,3.46,0.44,12.2,"Bad"
"249","W",5.6,0.23,0.25,8,0.043,31,101,0.99429,3.19,0.42,10.4,"Bad"
"250","W",7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3,"Bad"
"251","R",8.4,0.39,0.1,1.7,0.075,6,25,0.99581,3.09,0.43,9.7,"Good"
"252","W",7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,"Good"
"253","R",5.9,0.645,0.12,2,0.075,32,44,0.99547,3.57,0.71,10.2,"Good"
"254","W",6.5,0.29,0.3,9.15,0.051,25,166,0.99339,3.24,0.56,11.33333333,"Bad"
"255","W",5.8,0.2,0.16,1.4,0.042,44,99,0.98912,3.23,0.37,12.2,"Bad"
"256","W",5.7,0.39,0.25,4.9,0.033,49,113,0.98966,3.26,0.58,13.1,"Good"
"257","W",7,0.18,0.37,1.5,0.043,16,104,0.99216,3.18,0.5,10.8,"Bad"
"258","R",7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,"Bad"
"259","R",7.4,0.36,0.34,1.8,0.075,18,38,0.9933,3.38,0.88,13.6,"Good"
"260","W",8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,"Good"
"261","R",9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,"Bad"
"262","R",6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,"Bad"
"263","W",9.4,0.16,0.3,1.4,0.042,26,176,0.9954,3.15,0.46,9.1,"Bad"
"264","W",6.5,0.35,0.36,0.8,0.034,32,111,0.98942,3.11,0.5,12.1,"Good"
"265","W",6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,"Bad"
"266","W",6.3,0.37,0.28,6.3,0.034,45,152,0.9921,3.29,0.46,11.6,"Good"
"267","W",6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,"Bad"
"268","W",7.4,0.3,0.22,5.25,0.053,33,180,0.9926,3.13,0.45,11.6,"Bad"
"269","W",6.9,0.26,0.38,10.5,0.044,33,139,0.99517,3.06,0.5,10.3,"Bad"
"270","W",6.8,0.24,0.34,5.1,0.038,31,99,0.9921,3.24,0.46,11.8,"Bad"
"271","W",6.8,0.28,0.36,8,0.045,28,123,0.9928,3.02,0.37,11.4,"Bad"
"272","R",7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,"Bad"
