"","Wine.Color","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","Class"
"35","W",5.7,0.39,0.25,4.9,0.033,49,113,0.98966,3.26,0.58,13.1,"Good"
"36","W",8.3,0.3,0.36,10,0.042,33,169,0.9982,3.23,0.51,9.3,"Good"
"37","W",6.1,0.16,0.37,1.1,0.031,37,97,0.9922,3.4,0.58,10.5,"Good"
"38","W",7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,"Good"
"39","W",5,0.61,0.12,1.3,0.009,65,100,0.9874,3.26,0.37,13.5,"Good"
"40","W",6.6,0.23,0.24,3.9,0.045,36,138,0.9922,3.15,0.64,11.3,"Good"
"41","W",5.9,0.26,0.27,18.2,0.048,52,168,0.9993,3.35,0.44,9.4,"Bad"
"42","R",10.6,0.36,0.59,2.2,0.152,6,18,0.9986,3.04,1.05,9.4,"Bad"
"43","W",7,0.29,0.49,3.8,0.047,37,136,0.9938,2.95,0.4,9.4,"Good"
"44","R",8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,"Good"
"45","W",6.6,0.27,0.49,7.8,0.049,62,217,0.9959,3.17,0.45,9.4,"Good"
"46","W",7.7,0.17,0.52,5.9,0.017,21,84,0.9929,3.14,0.4,11.9,"Good"
"47","W",6.8,0.25,0.34,4.7,0.031,34,134,0.9927,3.21,0.38,10.6,"Good"
"48","W",6,0.28,0.27,15.5,0.036,31,134,0.99408,3.19,0.44,13,"Good"
"49","W",6.1,0.4,0.31,0.9,0.048,23,170,0.993,3.22,0.77,9.5,"Bad"
"50","W",6.4,0.39,0.21,1.2,0.041,35,136,0.99225,3.15,0.46,10.2,"Bad"
"51","W",6.4,0.28,0.23,6,0.051,50,162,0.994,3.15,0.52,10.2,"Bad"
"52","W",8.4,0.2,0.38,11.8,0.055,51,170,1.0004,3.34,0.82,8.9,"Good"
"53","W",6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,"Bad"
"54","W",7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,"Good"
"55","W",6.1,0.22,0.28,16.55,0.059,54,135,0.99665,3.2,0.38,10.5,"Good"
"56","W",5.7,0.43,0.3,5.7,0.039,24,98,0.992,3.54,0.61,12.3,"Good"
"57","W",7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9,"Good"
"58","W",7,0.15,0.38,2.2,0.047,33,96,0.9928,3.13,0.39,10.4,"Good"
"59","R",14.3,0.31,0.74,1.8,0.075,6,15,1.0008,2.86,0.79,8.4,"Good"
"60","R",9.5,0.56,0.33,2.4,0.089,35,67,0.9972,3.28,0.73,11.8,"Good"
"61","R",6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11,"Good"
"62","W",7.2,0.34,0.3,8.4,0.051,40,167,0.99756,3.48,0.62,9.7,"Good"
"63","W",7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,"Bad"
"64","W",4.8,0.65,0.12,1.1,0.013,4,10,0.99246,3.32,0.36,13.5,"Bad"
"65","W",6.7,0.26,0.29,7.1,0.036,28,100,0.99534,3.08,0.36,9.3,"Good"
"66","R",7.1,0.59,0,2.2,0.078,26,44,0.99522,3.42,0.68,10.8,"Bad"
"67","W",6,0.33,0.18,3,0.036,5,85,0.99125,3.28,0.4,11.5,"Bad"
"68","W",6.8,0.28,0.6,1.1,0.132,42,127,0.9934,3.09,0.44,9.1,"Bad"
"69","R",7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,"Bad"
"70","W",6.6,0.23,0.18,8.5,0.044,59,188,0.99558,3.16,0.49,9.5,"Bad"
"71","W",7.4,0.27,0.28,1.8,0.04,45,121,0.99043,3.02,0.4,11.9,"Good"
"72","W",7.7,0.31,0.23,2,0.069,29,134,0.99382,3.11,0.62,9.8,"Bad"
"73","W",6.8,0.26,0.32,7,0.041,38,118,0.9939,3.25,0.52,10.8,"Good"
"74","R",8.1,0.29,0.36,2.2,0.048,35,53,0.995,3.27,1.01,12.4,"Good"
"75","W",6,0.28,0.29,19.3,0.051,36,174,0.99911,3.14,0.5,9,"Bad"
"76","W",6.5,0.26,0.34,16.3,0.051,56,197,1.0004,3.49,0.42,9.8,"Bad"
"77","W",6.9,0.23,0.41,8,0.03,30,114,0.99368,3.22,0.54,11,"Good"
"78","R",7.6,0.42,0.25,3.9,0.104,28,90,0.99784,3.15,0.57,9.1,"Good"
"79","R",9.3,0.4,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4,"Bad"
"80","R",6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,"Good"
"81","R",11.1,0.42,0.47,2.65,0.085,9,34,0.99736,3.24,0.77,12.1,"Good"
"82","W",6.9,0.13,0.28,13.3,0.05,47,132,0.99655,3.34,0.42,10.1,"Good"
"83","R",7.2,0.635,0.07,2.6,0.077,16,86,0.99748,3.51,0.54,9.7,"Bad"
"84","W",7.8,0.42,0.26,9.2,0.058,34,199,0.9972,3.14,0.55,9.3,"Bad"
"85","R",7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,"Bad"
"86","R",7,0.58,0.28,4.8,0.085,12,69,0.99633,3.32,0.7,11,"Good"
"87","W",7.5,0.33,0.39,12.4,0.065,29,119,0.9974,3.16,0.39,9.4,"Bad"
"88","W",6.7,0.11,0.26,14.8,0.053,44,95,0.99676,3.2,0.35,9.8,"Bad"
"89","R",8.8,0.37,0.48,2.1,0.097,39,145,0.9975,3.04,1.03,9.3,"Bad"
"90","W",7.6,0.18,0.46,10.2,0.055,58,135,0.9968,3.14,0.43,9.9,"Good"
"91","W",7.4,0.56,0.09,1.5,0.071,19,117,0.99496,3.22,0.53,9.8,"Bad"
"92","W",5.1,0.26,0.33,1.1,0.027,46,113,0.98946,3.35,0.43,11.4,"Good"
"93","W",6.2,0.36,0.45,10.4,0.06,22,184,0.99711,3.31,0.56,9.8,"Bad"
"94","R",9,0.4,0.43,2.4,0.068,29,46,0.9943,3.2,0.6,12.2,"Good"
"95","W",6.1,0.36,0.33,1.1,0.05,24,169,0.9927,3.15,0.78,9.5,"Good"
"96","W",8.8,0.39,0.35,1.8,0.096,22,80,0.99016,2.95,0.54,12.6,"Good"
"97","W",6.6,0.35,0.26,2.7,0.045,19,129,0.98952,3.24,0.48,13,"Bad"
"98","W",7.2,0.23,0.33,12.7,0.049,50,183,0.9987,3.41,0.4,9.8,"Good"
"99","R",12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,"Bad"
"100","W",7.3,0.16,0.35,1.5,0.036,29,108,0.99342,3.27,0.51,10.2,"Bad"
"101","W",6,0.28,0.35,1.9,0.037,16,120,0.9933,3.16,0.69,10.6,"Bad"
"102","R",4.9,0.42,0,2.1,0.048,16,42,0.99154,3.71,0.74,14,"Good"
"103","W",6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9,"Bad"
"104","W",8.3,0.27,0.39,2.4,0.058,16,107,0.9955,3.28,0.59,10.3,"Bad"
"105","R",9.9,0.35,0.38,1.5,0.058,31,47,0.99676,3.26,0.82,10.6,"Good"
"106","W",5.6,0.34,0.1,1.3,0.031,20,68,0.9906,3.36,0.51,11.2,"Good"
"107","W",7.3,0.17,0.24,8.1,0.121,32,162,0.99508,3.17,0.38,10.4,"Good"
"108","W",6.1,0.16,0.24,1.4,0.046,17,77,0.99319,3.66,0.57,10.3,"Good"
"109","W",7.9,0.33,0.28,31.6,0.053,35,176,1.0103,3.15,0.38,8.8,"Good"
"110","W",6.8,0.26,0.44,8.2,0.046,52,183,0.99584,3.2,0.51,9.4,"Bad"
"111","W",6.8,0.4,0.29,2.8,0.044,27,97,0.9904,3.12,0.42,11.2,"Bad"
"112","W",6.6,0.23,0.32,0.9,0.041,25,79,0.9926,3.39,0.54,10.2,"Good"
"113","W",7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,"Good"
"114","W",6.2,0.22,0.27,1.5,0.064,20,132,0.9938,3.22,0.46,9.2,"Good"
"115","R",7.4,0.52,0.13,2.4,0.078,34,61,0.99528,3.43,0.59,10.8,"Good"
"116","R",6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,"Bad"
"117","W",6.2,0.21,0.26,13.1,0.05,59,150,0.99772,3.31,0.46,9,"Bad"
"118","W",7.9,0.16,0.3,7.4,0.05,58,152,0.99612,3.12,0.37,9.5,"Good"
"119","W",6.7,0.24,0.29,14.9,0.053,55,136,0.99839,3.03,0.52,9,"Good"
"120","W",6.3,0.25,0.22,3.3,0.048,41,161,0.99256,3.16,0.5,10.5,"Bad"
"121","W",7,0.2,0.35,8.8,0.037,31,103,0.99388,3.13,0.49,11,"Good"
"122","W",6.8,0.23,0.29,12.2,0.035,38,236,0.9976,3.35,0.52,9.8,"Good"
"123","W",7.9,0.28,0.32,3.6,0.038,9,76,0.992,3.05,0.31,11.7,"Good"
"124","R",11.7,0.45,0.63,2.2,0.073,7,23,0.99974,3.21,0.69,10.9,"Bad"
"125","W",7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,"Good"
"126","R",7.5,0.27,0.34,2.3,0.05,4,8,0.9951,3.4,0.64,11,"Good"
"127","R",8,0.6,0.22,2.1,0.08,25,105,0.99613,3.3,0.49,9.9,"Bad"
"128","R",6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.233333333,"Good"
"129","W",7.1,0.28,0.35,3.5,0.028,35,91,0.99022,2.96,0.33,12.1,"Good"
"130","R",7.1,0.36,0.3,1.6,0.08,35,70,0.99693,3.44,0.5,9.4,"Good"
"131","R",7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,"Bad"
"132","W",8,0.33,0.32,4.6,0.041,31,180,0.99184,2.92,0.74,12.2,"Bad"
"133","W",6.3,0.22,0.57,1.4,0.208,14,96,0.9932,3.16,0.43,10,"Good"
"134","W",7.1,0.37,0.3,6.2,0.04,49,139,0.99021,3.17,0.27,13.6,"Good"
"135","W",7.5,0.26,0.52,13.2,0.047,64,179,0.9982,3.1,0.46,9,"Bad"
"136","R",7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,"Bad"
"137","W",8,0.36,0.39,1.6,0.024,26,93,0.99116,3.15,0.49,11.9,"Bad"
"138","R",10,0.58,0.22,1.9,0.08,9,32,0.9974,3.13,0.55,9.5,"Bad"
"139","W",6,0.26,0.34,1.3,0.046,6,29,0.9924,3.29,0.63,10.4,"Bad"
"140","W",7.7,0.32,0.62,10.6,0.036,56,153,0.9978,3.13,0.44,8.9,"Good"
"141","R",9.7,0.295,0.4,1.5,0.073,14,21,0.99556,3.14,0.51,10.9,"Good"
"142","R",6.4,0.47,0.4,2.4,0.071,8,19,0.9963,3.56,0.73,10.6,"Good"
"143","R",7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,"Bad"
"144","W",6.2,0.255,0.24,1.7,0.039,138.5,272,0.99452,3.53,0.53,9.6,"Bad"
"145","W",6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,"Bad"
"146","W",6,0.27,0.4,1.7,0.021,18,82,0.9891,3.24,0.95,13.13333333,"Good"
"147","R",9.3,0.48,0.29,2.1,0.127,6,16,0.9968,3.22,0.72,11.2,"Bad"
"148","W",5.6,0.26,0.27,10.6,0.03,27,119,0.9947,3.4,0.34,10.7,"Good"
"149","W",7.6,0.56,0.12,10.4,0.096,22,177,0.9983,3.32,0.45,9.1,"Bad"
"150","W",6.8,0.32,0.37,3.4,0.023,19,87,0.9902,3.14,0.53,12.7,"Bad"
"151","W",6.8,0.27,0.24,4.6,0.098,36,127,0.99412,3.15,0.49,9.6,"Bad"
"152","R",9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,"Bad"
"153","W",8,0.19,0.3,2,0.053,48,140,0.994,3.18,0.49,9.6,"Bad"
"154","W",7.6,0.48,0.33,7,0.024,14,130,0.9918,3.25,0.45,12.5,"Good"
"155","W",7.5,0.34,0.35,6,0.034,12,126,0.9924,3.16,0.39,12,"Good"
"156","R",11.9,0.58,0.58,1.9,0.071,5,18,0.998,3.09,0.63,10,"Good"
"157","W",5.8,0.29,0.21,2.6,0.025,12,120,0.9894,3.39,0.79,14,"Good"
"158","W",6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4,"Good"
"159","W",5.9,0.17,0.28,0.7,0.027,5,28,0.98985,3.13,0.32,10.6,"Bad"
"160","W",7.6,0.23,0.34,1.6,0.043,24,129,0.99305,3.12,0.7,10.4,"Good"
"161","R",9.9,0.32,0.56,2,0.073,3,8,0.99534,3.15,0.73,11.4,"Bad"
"162","R",9.6,0.38,0.42,1.9,0.071,5,13,0.99659,3.15,0.75,10.5,"Good"
"163","W",6.1,0.34,0.31,12,0.053,46,238,0.9977,3.16,0.48,8.6,"Bad"
"164","W",6.8,0.24,0.34,4.6,0.032,37,135,0.9927,3.2,0.39,10.6,"Good"
"165","W",5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9,"Good"
"166","W",5.3,0.3,0.2,1.1,0.077,48,166,0.9944,3.3,0.54,8.7,"Bad"
"167","W",6.7,0.5,0.36,11.5,0.096,18,92,0.99642,3.11,0.49,9.6,"Bad"
"168","R",10.5,0.43,0.35,3.3,0.092,24,70,0.99798,3.21,0.69,10.5,"Bad"
"169","R",9.4,0.615,0.28,3.2,0.087,18,72,1.0001,3.31,0.53,9.7,"Bad"
"170","W",7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,"Good"
"171","W",7.1,0.38,0.29,13.6,0.041,30,137,0.99461,3.02,0.96,12.1,"Good"
"172","W",7.8,0.27,0.58,11.2,0.036,44,161,0.9977,3.06,0.41,8.9,"Bad"
"173","W",6.7,0.34,0.26,1.9,0.038,58,138,0.9893,3,0.47,12.2,"Good"
"174","W",6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,"Good"
"175","R",7.8,0.39,0.42,2,0.086,9,21,0.99526,3.39,0.66,11.6,"Bad"
"176","R",10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,"Bad"
"177","W",7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,"Good"
"178","W",8,0.37,0.32,1.6,0.04,32,166,0.992,3,0.55,11.3,"Good"
"179","W",6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,"Bad"
"180","W",9.8,0.36,0.46,10.5,0.038,4,83,0.9956,2.89,0.3,10.1,"Bad"
"181","W",6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2,"Bad"
"182","W",6.4,0.28,0.43,7.1,0.045,60,221,0.9952,3.09,0.45,9.4,"Good"
"183","R",9.4,0.24,0.33,2.3,0.061,52,73,0.99786,3.47,0.9,10.2,"Bad"
"184","W",6.6,0.16,0.35,1.8,0.042,26,105,0.98962,3.19,0.75,12.4,"Good"
"185","W",6.6,0.25,0.36,8.1,0.045,54,180,0.9958,3.08,0.42,9.2,"Bad"
"186","W",6,0.41,0.21,1.9,0.05,29,122,0.9928,3.42,0.52,10.5,"Good"
"187","W",6.9,0.44,0.18,11.8,0.051,26,126,0.9975,3.23,0.48,9.1,"Bad"
"188","W",7.1,0.12,0.3,3.1,0.018,15,37,0.99004,3.02,0.52,11.9,"Good"
"189","R",9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,"Good"
"190","R",10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,"Good"
"191","R",8.8,0.24,0.54,2.5,0.083,25,57,0.9983,3.39,0.54,9.2,"Good"
"192","R",10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,"Good"
"193","W",9.4,0.23,0.56,16.45,0.063,52.5,282,1.00098,3.1,0.51,9.3,"Bad"
"194","W",6.4,0.33,0.3,7.2,0.041,42,168,0.99331,3.22,0.49,11.1,"Bad"
"195","R",7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9,"Bad"
"196","R",8.2,0.43,0.29,1.6,0.081,27,45,0.99603,3.25,0.54,10.3,"Bad"
"197","W",7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,"Bad"
"198","R",6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1,"Good"
"199","W",7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3,"Bad"
"200","R",10,0.41,0.45,6.2,0.071,6,14,0.99702,3.21,0.49,11.8,"Good"
"201","W",6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,"Bad"
"202","W",5.1,0.26,0.34,6.4,0.034,26,99,0.99449,3.23,0.41,9.2,"Good"
"203","W",6.3,0.23,0.5,10.4,0.043,61,132,0.99542,2.86,0.46,9.1,"Good"
"204","W",6.9,0.35,0.74,1,0.044,18,132,0.992,3.13,0.55,10.2,"Bad"
"205","R",8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,"Bad"
"206","W",6.7,0.24,0.32,9,0.023,20,109,0.99262,3.34,0.35,12.6,"Bad"
"207","R",11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,"Bad"
"208","R",6.8,0.81,0.05,2,0.07,6,14,0.99562,3.51,0.66,10.8,"Good"
"209","R",8.6,0.33,0.4,2.6,0.083,16,68,0.99782,3.3,0.48,9.4,"Bad"
"210","R",9.2,0.56,0.18,1.6,0.078,10,21,0.99576,3.15,0.49,9.9,"Good"
"211","W",7,0.4,0.25,1.8,0.05,51,189,0.99174,3,0.55,11.4,"Bad"
"212","W",6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,"Bad"
"213","W",7.9,0.51,0.34,2.6,0.049,13,135,0.99335,3.09,0.51,10,"Bad"
"214","W",6.9,0.24,0.33,4.8,0.04,16,131,0.9936,3.26,0.64,10.7,"Good"
"215","W",7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,"Bad"
"216","W",6.2,0.22,0.28,2.2,0.04,24,125,0.9917,3.19,0.48,10.5,"Bad"
"217","W",4.6,0.445,0,1.4,0.053,11,178,0.99426,3.79,0.55,10.2,"Bad"
"218","W",7.3,0.29,0.3,13,0.043,46,238,0.9986,3.06,0.41,8.7,"Bad"
"219","W",6.9,0.12,0.36,2.2,0.037,18,111,0.9919,3.41,0.82,11.9,"Good"
"220","W",5.9,0.35,0.47,2.2,0.11,14,138,0.9932,3.09,0.5,9.1,"Bad"
"221","W",5.3,0.36,0.27,6.3,0.028,40,132,0.99186,3.37,0.4,11.6,"Good"
"222","R",6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,"Good"
"223","W",6.6,0.21,0.29,5.35,0.029,43,106,0.99112,2.93,0.43,11.5,"Good"
"224","W",6.1,0.25,0.18,10.5,0.049,41,124,0.9963,3.14,0.35,10.5,"Bad"
"225","R",7.4,0.74,0.07,1.7,0.086,15,48,0.99502,3.12,0.48,10,"Bad"
"226","W",7.6,0.27,0.52,3.2,0.043,28,152,0.99129,3.02,0.53,11.4,"Good"
"227","W",5.8,0.15,0.31,5.9,0.036,7,73,0.99152,3.2,0.43,11.9,"Good"
"228","W",7.1,0.33,0.3,3.3,0.034,30,102,0.9912,3.08,0.31,12.3,"Good"
"229","W",7.6,0.31,0.27,8.8,0.021,57,156,0.99442,3.08,0.38,11,"Good"
"230","R",6.1,0.56,0,2.2,0.079,6,9,0.9948,3.59,0.54,11.5,"Bad"
"231","W",6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,"Good"
"232","W",6.7,0.22,0.39,1.2,0.049,26,152,0.99346,3.5,0.47,10,"Bad"
"233","W",6.2,0.255,0.24,1.7,0.039,138.5,272,0.99452,3.53,0.53,9.6,"Bad"
"234","W",6.4,0.24,0.32,0.95,0.041,23,131,0.99033,3.25,0.35,11.8,"Bad"
"235","R",8.2,0.39,0.38,1.5,0.058,10,29,0.9962,3.26,0.74,9.8,"Bad"
"236","W",6.4,0.28,0.36,1.3,0.053,28,186,0.99211,3.31,0.45,10.8,"Bad"
"237","W",6.4,0.15,0.31,1.1,0.044,25,96,0.9932,3.54,0.51,10.3,"Bad"
"238","R",9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1,"Bad"
"239","R",10,0.35,0.45,2.5,0.092,20,88,0.99918,3.15,0.43,9.4,"Good"
"240","W",6.8,0.27,0.28,7.8,0.038,26,89,0.9915,3.24,0.34,12.5,"Good"
"241","W",6.9,0.17,0.25,1.6,0.047,34,132,0.9914,3.16,0.48,11.4,"Bad"
"242","W",7.6,0.48,0.28,10.4,0.049,57,205,0.99748,3.24,0.45,9.3,"Bad"
"243","W",7.2,0.23,0.25,18.8,0.085,19,111,1.00044,3.1,0.51,8.7,"Bad"
"244","W",6.2,0.255,0.27,1.3,0.037,30,86,0.98834,3.05,0.59,12.9,"Good"
"245","W",6.7,0.19,0.41,15.6,0.056,75,155,0.9995,3.2,0.44,8.8,"Good"
"246","W",8.9,0.26,0.33,8.1,0.024,47,202,0.99558,3.13,0.46,10.8,"Good"
"247","R",8.9,0.24,0.39,1.6,0.074,3,10,0.99698,3.12,0.59,9.5,"Bad"
"248","W",7.9,0.29,0.31,7.35,0.034,37,154,0.9938,3.06,0.31,10.8,"Bad"
"249","W",7.2,0.23,0.46,6.4,0.036,17,85,0.99279,3.1,0.78,11.7,"Good"
"250","W",6.4,0.35,0.35,5.6,0.034,9,148,0.99441,3.17,0.5,9.8,"Bad"
"251","W",7.15,0.17,0.24,9.6,0.119,56,178,0.99578,3.15,0.44,10.2,"Good"
"252","W",9.2,0.23,0.3,1.1,0.031,40,99,0.9929,2.94,0.3,10.4,"Good"
"253","W",6.5,0.22,0.19,4.5,0.096,16,115,0.9937,3.02,0.44,9.6,"Good"
"254","R",9.1,0.4,0.57,4.6,0.08,6,20,0.99652,3.28,0.57,12.5,"Bad"
"255","R",7.9,0.765,0,2,0.084,9,22,0.99619,3.33,0.68,10.9,"Good"
"256","W",6.9,0.13,0.28,13.3,0.05,47,132,0.99655,3.34,0.42,10.1,"Good"
"257","W",6.3,0.34,0.28,14.7,0.047,49,198,0.9977,3.23,0.46,9.5,"Good"
"258","W",8.4,0.19,0.42,1.6,0.047,9,101,0.994,3.06,0.65,11.1,"Bad"
"259","W",7.3,0.815,0.09,11.4,0.044,45,204,0.99713,3.15,0.46,9,"Good"
"260","W",9.5,0.21,0.47,1.3,0.039,21,123,0.9959,2.9,0.64,9.5,"Bad"
"261","W",6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9,"Bad"
"262","W",7.6,0.32,0.34,18.35,0.054,44,197,1.0008,3.22,0.55,9,"Bad"
"263","W",7.1,0.36,0.37,4.8,0.019,39,114,0.99036,3.08,0.49,12.7,"Good"
"264","W",6,0.28,0.52,6.2,0.028,37,104,0.99161,3.28,0.51,11.8,"Good"
"265","W",7.3,0.26,0.3,9.3,0.05,35,154,0.99581,3.21,0.5,10.4,"Bad"
"266","W",6.3,0.3,0.24,6.6,0.04,38,141,0.995,3.22,0.47,9.5,"Bad"
"267","W",6.6,0.29,0.44,9,0.053,62,178,0.99685,3.02,0.45,8.9,"Bad"
"268","W",7.1,0.85,0.49,8.7,0.028,40,184,0.9962,3.22,0.36,10.7,"Bad"
"269","W",6.5,0.18,0.34,1.6,0.04,43,148,0.9912,3.32,0.59,11.5,"Bad"
"270","R",9.3,0.38,0.48,3.8,0.132,3,11,0.99577,3.23,0.57,13.2,"Good"
"271","W",7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9,"Good"
"272","W",6.4,0.26,0.26,1.1,0.052,22,176,0.99304,3.09,0.54,9.3,"Bad"
